Positive,Negative,Neutral,adj_price,close_price
0.096,0.203,0.702,12501.809814,12501.809814
0.075,0.094,0.831,12548.639648,12548.639648
0.068,0.112,0.82,12532.599609,12532.599609
0.076,0.116,0.807,12422.860352,12422.860352
0.112,0.114,0.774,12302.459961,12302.459961
0.088,0.136,0.776,12216.400391,12216.400391
0.087,0.154,0.759,12231.89681,12231.89681
0.095,0.186,0.719,12247.393229000001,12247.393229000001
0.089,0.101,0.81,12262.889648,12262.889648
0.092,0.087,0.82,12654.360352,12654.360352
0.105,0.108,0.787,12608.919922,12608.919922
0.105,0.118,0.776,12626.030273,12626.030273
0.086,0.162,0.752,12609.419922,12609.419922
0.079,0.13,0.791,12610.423177333332,12610.423177333332
0.102,0.144,0.754,12611.426432666667,12611.426432666667
0.077,0.115,0.808,12612.429688,12612.429688
0.086,0.135,0.779,12576.44043,12576.44043
0.129,0.124,0.748,12527.259766,12527.259766
0.091,0.089,0.819,12581.980469,12581.980469
0.116,0.133,0.751,12325.419922,12325.419922
0.099,0.126,0.776,12317.633138,12317.633138
0.082,0.153,0.764,12309.846354000001,12309.846354000001
0.121,0.158,0.72,12302.05957,12302.05957
0.09,0.152,0.758,12362.469727,12362.469727
0.127,0.112,0.76,12619.269531,12619.269531
0.136,0.171,0.693,12620.490234,12620.490234
0.082,0.168,0.75,12849.360352,12849.360352
0.097,0.192,0.711,12841.246745,12841.246745
0.137,0.125,0.737,12833.133138,12833.133138
0.1,0.138,0.762,12825.019531,12825.019531
0.117,0.134,0.749,12720.230469,12720.230469
0.108,0.136,0.755,12763.219727,12763.219727
0.118,0.13,0.752,12848.950195,12848.950195
0.115,0.156,0.729,12891.860352,12891.860352
0.093,0.171,0.736,12885.156901333336,12885.156901333336
0.125,0.145,0.73,12878.453450666664,12878.453450666664
0.064,0.126,0.81,12871.75,12871.75
0.147,0.128,0.725,12831.94043,12831.94043
0.092,0.139,0.769,12820.129883,12820.129883
0.111,0.102,0.788,13010.0,13010.0
0.133,0.123,0.745,13058.200195,13058.200195
0.138,0.101,0.761,13028.646809666667,13028.646809666667
0.076,0.166,0.759,12999.093424333332,12999.093424333332
0.099,0.121,0.78,12969.540039,12969.540039
0.11,0.149,0.741,13020.830078,13020.830078
0.109,0.116,0.775,12814.349609,12814.349609
0.105,0.114,0.781,12866.780273,12866.780273
0.073,0.167,0.759,12745.879883,12745.879883
0.08,0.195,0.725,12789.356445333333,12789.356445333333
0.057,0.162,0.781,12832.833007666664,12832.833007666664
0.126,0.114,0.76,12876.30957,12876.30957
0.102,0.136,0.761,12832.179688,12832.179688
0.133,0.155,0.712,12898.379883,12898.379883
0.062,0.163,0.775,12992.660156,12992.660156
0.1,0.139,0.761,12986.799805,12986.799805
0.055,0.126,0.819,13000.586588666667,13000.586588666667
0.104,0.129,0.767,13014.373372333332,13014.373372333332
0.096,0.104,0.8,13028.160156,13028.160156
0.048,0.139,0.813,12828.679688,12828.679688
0.094,0.175,0.731,12601.19043,12601.19043
0.088,0.097,0.816,12625.620117,12625.620117
0.125,0.152,0.723,12479.629883,12479.629883
0.086,0.163,0.751,12496.8098145,12496.8098145
0.104,0.172,0.724,12513.989746,12513.989746
0.089,0.146,0.765,12531.1696775,12531.1696775
0.069,0.131,0.8,12548.349609,12548.349609
0.109,0.196,0.695,12594.030273,12594.030273
0.111,0.095,0.794,12646.219727,12646.219727
0.112,0.159,0.728,12638.320312,12638.320312
0.133,0.121,0.747,12593.486978666666,12593.486978666666
0.125,0.173,0.702,12548.653645333336,12548.653645333336
0.111,0.167,0.722,12503.820312,12503.820312
0.102,0.16,0.738,12402.849609,12402.849609
0.064,0.149,0.787,12390.480469,12390.480469
0.124,0.12,0.756,12604.450195,12604.450195
0.098,0.087,0.815,12209.80957,12209.80957
0.089,0.123,0.789,12233.313150666667,12233.313150666667
0.068,0.241,0.69,12256.816731333332,12256.816731333332
0.078,0.123,0.8,12280.320312,12280.320312
0.098,0.136,0.765,12289.759766,12289.759766
0.107,0.117,0.776,12083.769531,12083.769531
